nbr,DGP,noise_level,model,sample_size,x_cut_off,y_cut_off,nbr_run,CV_max_m,shap_max_m,min_x_frac,do_ML,do_shap
144,1,0,NN,1000,5,5,44,10000,3162,0.1,TRUE,TRUE
145,1,0,NN,1000,5,5,45,10000,3162,0.1,TRUE,TRUE
146,1,0,NN,1000,5,5,46,10000,3162,0.1,TRUE,TRUE
147,1,0,NN,1000,5,5,47,10000,3162,0.1,TRUE,TRUE
148,1,0,NN,1000,5,5,48,10000,3162,0.1,TRUE,TRUE
149,1,0,NN,1000,5,5,49,10000,3162,0.1,TRUE,TRUE
150,1,0,NN,1000,5,5,50,10000,3162,0.1,TRUE,TRUE
151,1,0,NN,3162,5,5,1,10000,3162,0.1,TRUE,TRUE
152,1,0,NN,3162,5,5,2,10000,3162,0.1,TRUE,TRUE
153,1,0,NN,3162,5,5,3,10000,3162,0.1,TRUE,TRUE
154,1,0,NN,3162,5,5,4,10000,3162,0.1,TRUE,TRUE
155,1,0,NN,3162,5,5,5,10000,3162,0.1,TRUE,TRUE
156,1,0,NN,3162,5,5,6,10000,3162,0.1,TRUE,TRUE
157,1,0,NN,3162,5,5,7,10000,3162,0.1,TRUE,TRUE
158,1,0,NN,3162,5,5,8,10000,3162,0.1,TRUE,TRUE
159,1,0,NN,3162,5,5,9,10000,3162,0.1,TRUE,TRUE
160,1,0,NN,3162,5,5,10,10000,3162,0.1,TRUE,TRUE
161,1,0,NN,3162,5,5,11,10000,3162,0.1,TRUE,TRUE
162,1,0,NN,3162,5,5,12,10000,3162,0.1,TRUE,TRUE
163,1,0,NN,3162,5,5,13,10000,3162,0.1,TRUE,TRUE
164,1,0,NN,3162,5,5,14,10000,3162,0.1,TRUE,TRUE
165,1,0,NN,3162,5,5,15,10000,3162,0.1,TRUE,TRUE
166,1,0,NN,3162,5,5,16,10000,3162,0.1,TRUE,TRUE
167,1,0,NN,3162,5,5,17,10000,3162,0.1,TRUE,TRUE
168,1,0,NN,3162,5,5,18,10000,3162,0.1,TRUE,TRUE
169,1,0,NN,3162,5,5,19,10000,3162,0.1,TRUE,TRUE
170,1,0,NN,3162,5,5,20,10000,3162,0.1,TRUE,TRUE
171,1,0,NN,3162,5,5,21,10000,3162,0.1,TRUE,TRUE
172,1,0,NN,3162,5,5,22,10000,3162,0.1,TRUE,TRUE
173,1,0,NN,3162,5,5,23,10000,3162,0.1,TRUE,TRUE
174,1,0,NN,3162,5,5,24,10000,3162,0.1,TRUE,TRUE
175,1,0,NN,3162,5,5,25,10000,3162,0.1,TRUE,TRUE
176,1,0,NN,3162,5,5,26,10000,3162,0.1,TRUE,TRUE
